
#####
##### SCREEN-RESOLUTIONS
#####

# 2015-09-04,2015-12-02
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"375x667",2124,11.8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=375x667"
"320x568",1858,10.3,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x568"
"360x640",1757,9.7,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x640"
"1920x1080",1726,9.6,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1920x1080"
"1366x768",1467,8.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1366x768"
"1440x900",1439,8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1440x900"
"1280x800",1217,6.7,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x800"
"768x1024",1052,5.8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=768x1024"
"1600x900",689,3.8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1600x900"
"414x736",594,3.3,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=414x736"
"1280x720",518,2.9,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x720"
"1280x1024",474,2.6,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x1024"
"1680x1050",401,2.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1680x1050"
"1920x1200",328,1.8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1920x1200"
"1024x768",318,1.8,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x768"
"2560x1440",246,1.4,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2560x1440"
"320x480",169,0.9,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x480"
"1536x864",158,0.9,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1536x864"
"320x534",111,0.6,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x534"
"412x732",102,0.6,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=412x732"
"720x1280",81,0.4,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=720x1280"
"1152x864",55,0.3,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1152x864"
"1600x1200",43,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1600x1200"
"320x570",42,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x570"
"1093x614",39,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1093x614"
"601x962",34,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=601x962"
"1344x840",33,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1344x840"
"640x360",32,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=640x360"
"540x960",30,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=540x960"
"1024x819",29,0.2,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x819"
"600x1024",25,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=600x1024"
"2560x1600",24,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2560x1600"
"1360x768",24,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1360x768"
"1024x748",23,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x748"
"1280x768",22,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x768"
"360x592",22,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x592"
"2048x1152",20,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2048x1152"
"480x800",19,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x800"
"480x854",19,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x854"
"1440x960",19,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1440x960"
"1536x960",18,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1536x960"
"1438x808",16,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1438x808"
"600x960",14,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=600x960"
"360x598",14,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x598"
"1301x731",14,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1301x731"
"1152x720",13,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1152x720"
"800x600",13,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=800x600"
"1280x960",12,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x960"
"1120x700",12,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1120x700"
"1670x939",11,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1670x939"
